REGIAO,COD UF,UF,NOME MUNIC,POP EST,CLASSE POP,Rede,Taxa de Aprovação - 2017,"IDEB
2017
(N x P)"
3 - Sudeste,31,MG,Mendes Pimentel,6564,2 - 5001 até 10000,Pública,"100,0","5,7"
3 - Sudeste,31,MG,Mercês,10868,3 - 10001 até 20000,Estadual,-,-
3 - Sudeste,31,MG,Mercês,10868,3 - 10001 até 20000,Municipal,"99,8","6,3"
3 - Sudeste,31,MG,Mercês,10868,3 - 10001 até 20000,Pública,"99,8","6,3"
3 - Sudeste,31,MG,Mesquita,5911,2 - 5001 até 10000,Municipal,"96,7","5,9"
3 - Sudeste,31,MG,Mesquita,5911,2 - 5001 até 10000,Pública,"96,7","5,9"
3 - Sudeste,31,MG,Minas Novas,32009,4 - 20001 até 50000,Estadual,"99,8","6,6"
3 - Sudeste,31,MG,Minas Novas,32009,4 - 20001 até 50000,Municipal,"99,5","6,3"
3 - Sudeste,31,MG,Minas Novas,32009,4 - 20001 até 50000,Pública,"99,7","6,5"
3 - Sudeste,31,MG,Minduri,3970,1 - Até 5000,Municipal,"85,0","5,5"
3 - Sudeste,31,MG,Minduri,3970,1 - Até 5000,Pública,"85,0","5,5"
3 - Sudeste,31,MG,Mirabela,13726,3 - 10001 até 20000,Estadual,"100,0","6,2"
3 - Sudeste,31,MG,Mirabela,13726,3 - 10001 até 20000,Municipal,"91,4","4,7"
3 - Sudeste,31,MG,Mirabela,13726,3 - 10001 até 20000,Pública,"94,2","5,4"
3 - Sudeste,31,MG,Miradouro,10837,3 - 10001 até 20000,Municipal,"97,5","6,7"
3 - Sudeste,31,MG,Miradouro,10837,3 - 10001 até 20000,Pública,"97,5","6,7"
3 - Sudeste,31,MG,Miraí,14946,3 - 10001 até 20000,Estadual,"97,9","6,2"
3 - Sudeste,31,MG,Miraí,14946,3 - 10001 até 20000,Municipal,"99,8","6,7"
3 - Sudeste,31,MG,Miraí,14946,3 - 10001 até 20000,Pública,"99,5","6,6"
3 - Sudeste,31,MG,Miravânia,4885,1 - Até 5000,Estadual,"100,0","5,1"
3 - Sudeste,31,MG,Miravânia,4885,1 - Até 5000,Pública,"99,4","5,1"
3 - Sudeste,31,MG,Moeda,4957,1 - Até 5000,Municipal,"89,6","6,7"
3 - Sudeste,31,MG,Moeda,4957,1 - Até 5000,Pública,"89,6","6,7"
3 - Sudeste,31,MG,Moema,7525,2 - 5001 até 10000,Estadual,"100,0","6,7"
3 - Sudeste,31,MG,Moema,7525,2 - 5001 até 10000,Municipal,"99,4","6,9"
3 - Sudeste,31,MG,Moema,7525,2 - 5001 até 10000,Pública,"99,6","6,8"
3 - Sudeste,31,MG,Monjolos,2327,1 - Até 5000,Estadual,"100,0",-
3 - Sudeste,31,MG,Monjolos,2327,1 - Até 5000,Municipal,"99,1","6,3"
